"","ID","Date","LongDate","Timepoint","pHMeasured","pHNBS","pHSW","pHTotal","shelf","tank","pCO2"
"84",17052,"7/24/2017",20170724,"Exposure 5",7.443378119,7.357740956623,7.22399696872408,7.23450579424462,2,2,400
"85",17085,"7/24/2017",20170724,"Exposure 5",7.005758157,6.920120994623,6.78637700672408,6.79688583224462,6,1,2800
"86",17041,"7/24/2017",20170724,"Exposure 5",7.213051823,7.127414660623,6.99367067272408,7.00417949824462,6,3,2800
"87",17143,"7/24/2017",20170724,"Exposure 5",7.426103647,7.340466484623,7.20672249672408,7.21723132224462,1,2,400
"88",17158,"7/24/2017",20170724,"Exposure 5",7.834932821,7.749295658623,7.61555167072408,7.62606049624462,3,3,900
"89",17218,"7/24/2017",20170724,"Exposure 5",7.650671785,7.565034622623,7.43129063472408,7.44179946024462,5,3,900
"90",17170,"7/24/2017",20170724,"Exposure 5",6.97696737,6.891330207623,6.75758621972408,6.76809504524462,4,2,2800
"91",17079,"8/22/2017",20170822,"Exposure 6",7.449509521,7.363872358623,7.22795084655706,7.23856127585671,2,3,400
"92",17204,"8/22/2017",20170822,"Exposure 6",7.518753606,7.433116443623,7.29719493155706,7.30780536085671,5,3,900
"93",17082,"8/22/2017",20170822,"Exposure 6",7.553375649,7.467738486623,7.33181697455706,7.34242740385671,3,3,900
"94",17203,"8/22/2017",20170822,"Exposure 6",7.484131564,7.398494401623,7.26257288955706,7.27318331885671,2,1,400
"95",17145,"8/22/2017",20170822,"Exposure 6",6.9186382,6.833001037623,6.69707952555706,6.70768995485671,6,1,2800
"96",17019,"8/22/2017",20170822,"Exposure 6",7.149451818,7.063814655623,6.92789314355706,6.93850357285671,4,3,2800
"97",17007,"8/22/2017",20170822,"Exposure 6",7.455279862,7.369642699623,7.23372118755706,7.24433161685671,1,2,400
"98",17027,"8/22/2017",20170822,"Exposure 6",7.55914599,7.473508827623,7.33758731555706,7.34819774485671,3,2,900
"99",17208,"8/22/2017",20170822,"Exposure 6",7.189844201,7.104207038623,6.96828552655706,6.97889595585671,5,2,900
"100",17211,"8/22/2017",20170822,"Exposure 6",7.709174841,7.623537678623,7.48761616655706,7.49822659585671,2,2,400
"101",17213,"8/22/2017",20170822,"Exposure 6",6.872475476,6.786838313623,6.65091680155706,6.66152723085671,4,1,2800
"102",17029,"8/22/2017",20170822,"Exposure 6",7.443739181,7.358102018623,7.22218050655706,7.23279093585671,5,1,900
"103",17094,"8/22/2017",20170822,"Exposure 6",7.172533179,7.086896016623,6.95097450455706,6.96158493385671,6,2,2800
"104",17099,"8/22/2017",20170822,"Exposure 6",7.668782458,7.583145295623,7.44722378355706,7.45783421285671,1,3,400
"105",17178,"8/22/2017",20170822,"Exposure 6",7.091748413,7.006111250623,6.87018973855706,6.88080016785671,4,2,2800
"106",17130,"8/22/2017",20170822,"Exposure 6",7.097518754,7.011881591623,6.87596007955706,6.88657050885671,6,3,2800
"107",17012,"8/22/2017",20170822,"Exposure 6",7.472590883,7.386953720623,7.25103220855706,7.26164263785671,3,1,900
"108",17062,"8/24/2017",20170824,"Exposure 6",7.78978389,7.704146727623,7.56822521555706,7.57883564485671,2,1,400
"109",17123,"8/24/2017",20170824,"Exposure 6",7.141453831,7.055816668623,6.91989515655706,6.93050558585671,5,1,900
"110",17168,"8/24/2017",20170824,"Exposure 6",7.330058939,7.244421776623,7.10850026455706,7.11911069385671,3,3,900
"111",17043,"8/24/2017",20170824,"Exposure 6",7.277013752,7.191376589623,7.05545507755706,7.06606550685671,1,2,400
"112",17068,"8/24/2017",20170824,"Exposure 6",7.16502947,7.079392307623,6.94347079555706,6.95408122485671,2,2,400
"113",17005,"8/24/2017",20170824,"Exposure 6",6.84675835,6.761121187623,6.62519967555706,6.63581010485671,1,1,400
"114",17159,"8/24/2017",20170824,"Exposure 6",6.99410609,6.908468927623,6.77254741555706,6.78315784485671,6,1,2800
"115",17156,"8/24/2017",20170824,"Exposure 6",7.353634578,7.267997415623,7.13207590355706,7.14268633285671,5,3,900
"116",17126,"8/24/2017",20170824,"Exposure 6",7.63064833,7.545011167623,7.40908965555706,7.41970008485671,4,3,2800
"117",17153,"8/24/2017",20170824,"Exposure 6",7.129666012,7.044028849623,6.90810733755706,6.91871776685671,5,2,900
"118",17089,"8/24/2017",20170824,"Exposure 6",7.353634578,7.267997415623,7.13207590355706,7.14268633285671,2,3,400
"119",17051,"8/24/2017",20170824,"Exposure 6",6.858546169,6.772909006623,6.63698749455706,6.64759792385671,1,3,400
