"","ID","Date","Acc_Exp","shelf","tank","tankID","pCO2.x","length","width","pop","Timepoint","pCO2.y","pHMeasured","pHNBS","pHSW","pHTotal","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","delta_ph_NBS","delta_ph_total"
"30",17147,2017-06-06,"Exposure",4,1,10,2800,4.948,1.615,"Rowley",2,2800,7.305181756,7.219544593623,7.08904656809887,7.09940076025885,17.8,30.52,2156.1,2119.87,7.31,2428.4,0.84,0.54,17.4,30.3565,7.3725,7.242,7.251,7.0845,-0.152955406377001,-0.15159923974115
"31",17155,2017-06-06,"Exposure",3,3,9,900,2.498,1.876,"Rowley2",2,900,7.346148743,7.260511580623,7.13001355509887,7.14036774725885,17.4,30.52,2002.9,2082.91,7.7,910.7,1.89,1.21,17.45,30.323,7.794,7.6635,7.6725,7.506,-0.533488419377001,-0.53213225274115
"32",17187,2017-06-06,"Exposure",5,3,15,900,3.33,1.93,"Rowley2",2,900,7.628841594,7.543204431623,7.41270640609887,7.42306059825885,18.1,30.52,2011.74,2076.42,7.64,1054.6,1.71,1.1,18.3,30.323,7.8365,7.7055,7.7145,7.5485,-0.293295568377,-0.29143940174115
"33",17195,2017-06-06,"Exposure",1,1,1,400,5.115,1.813,"Rowley",2,400,7.708252,7.622614837623,7.49211681209887,7.50247100425885,18.2,30.42,1902.42,2073.01,7.94,487.2,3.17,2.03,17.65,30.2215,8.1025,7.972,7.9805,7.8155,-0.479885162376999,-0.47802899574115
"34",17198,2017-06-06,"Exposure",3,1,7,900,2.713,1.894,"Rowley",2,900,7.328214341,7.242577178623,7.11207915309887,7.12243334525885,17.5,30.52,2027.87,2082.51,7.62,1122.5,1.59,1.02,17.25,30.34,7.8,7.6695,7.678,7.512,-0.557422821377001,-0.55556665474115
"35",17207,2017-06-06,"Exposure",2,1,4,400,2.921,2.149,"Rowley",2,400,7.571149175,7.485512012623,7.35501398709887,7.36536817925885,17.9,30.52,1934.24,2067.49,7.85,617.3,2.61,1.67,17.85,30.407,8.101,7.971,7.9795,7.8125,-0.615487987376999,-0.61413182074115
"36",17220,2017-06-06,"Exposure",1,2,2,400,3.746,2.213,"Ipswich",2,400,7.679461268,7.593824105623,7.46332608009887,7.47368027225885,18.1,30.52,1899.83,2076.77,7.96,468.6,3.26,2.09,17.6,30.323,8.089,7.959,7.968,7.801,-0.495175894377001,-0.49431972774115
"37",17013,2017-06-13,"Exposure",2,2,5,400,4.446,2.338,"Rowley2",9,400,7.385795805,7.300158642623,7.16966061709887,7.18001480925885,17.55,30.305,1912.565,2025.71,7.805,680.45,2.3,1.47,17.5,30.2334,8.115,7.9846,7.9934,7.8278,-0.814841357377,-0.81338519074115
"38",17031,2017-06-13,"Exposure",5,1,13,900,3.089,1.675,"Rowley",9,900,7.201535122,7.115897959623,6.98539993409887,6.99575412625885,17.7,30.305,1638.455,2059.475,7.69,959.1,1.9,1.215,17.66,30.2198,7.873,7.7424,7.751,7.586,-0.757102040377,-0.75524587374115
"39",17069,2017-06-13,"Exposure",1,1,1,400,4.999,2.539,"Ipswich",9,400,7.81765678,7.732019617623,7.60152159209887,7.61187578425885,17.8,30.24,1896.355,2057.465,7.93,501.15,3.015,1.93,17.5,30.1524,8.1132,7.9826,7.9914,7.8268,-0.381180382377001,-0.37952421574115
"40",17070,2017-06-13,"Exposure",1,2,2,400,4.804,2.232,"Rowley2",9,400,6.786948586,6.701311423623,6.57081339809887,6.58116759025885,17.75,30.305,1893.675,2056.775,7.935,495.15,3.04,1.945,17.48,30.22,8.1206,7.9902,7.999,7.8334,-1.419288576377,-1.41783240974115
"41",17072,2017-06-13,"Exposure",4,3,12,2800,4.074,2.292,"Rowley",9,2800,7.616121658,7.530484495623,7.39998647009887,7.41034066225885,18.15,30.305,1771.78,2093.805,7.285,2575.4,0.79,0.505,17.64,30.2336,7.4096,7.2792,7.2878,7.1222,0.120884495623,0.12254066225885
"42",17090,2017-06-13,"Exposure",6,2,17,2800,5.49,2.316,"Rowley2",9,2800,7.420344683,7.334707520623,7.20420949509887,7.21456368725885,17.3,30.305,2147.815,2089.1,7.24,2792.45,0.695,0.445,17.18,30.2402,7.4384,7.3076,7.3164,7.151,-0.103692479377,-0.10183631274115
"43",17093,2017-06-13,"Exposure",3,3,9,900,4.47,2.838,"Rowley",9,900,7.731284585,7.645647422623,7.51514939709887,7.52550358925885,17.15,30.305,1961.47,2066.64,7.785,750.2,2.22,1.42,17.18,30.22,7.807,7.6764,7.6852,7.5198,-0.161352577377,-0.15969641074115
"44",17108,2017-06-13,"Exposure",6,3,18,2800,4.055,2.132,"Ipswich",9,2800,7.633396097,7.547758934623,7.41726090909887,7.42761510125885,17.3,30.305,2139.18,2085.13,7.255,2696.95,0.72,0.455,17.18,30.22,7.428,7.297,7.306,7.1408,0.119758934623,0.12161510125885
"45",17122,2017-06-13,"Exposure",4,1,10,2800,3.405,2.333,"Ipswich",9,2800,7.857963804,7.772326641623,7.64182861609887,7.65218280825885,17.65,30.305,1983.905,2091.8,7.325,2303.75,0.85,0.545,17.42,30.2402,7.412,7.2814,7.2904,7.125,0.360326641623,0.36178280825885
"46",17135,2017-06-13,"Exposure",5,2,14,900,2.408,1.464,"Rowley2",9,900,7.316698049,7.231060886623,7.10056286109887,7.11091705325885,17.7,30.305,1535.61,2067.475,7.74,837.75,2.05,1.31,17.76,30.2402,7.8642,7.7336,7.7422,7.5768,-0.633139113377,-0.631282946741149
"47",17142,2017-06-13,"Exposure",6,1,16,2800,2.524,2.052,"Rowley",9,2800,7.811898634,7.726261471623,7.59576344609887,7.60611763825885,17.3,30.325,2153.045,2086.22,7.22,2961.1,0.665,0.425,17.26,30.2472,7.442,7.3112,7.32,7.1544,0.284261471623,0.286117638258849
"48",17154,2017-06-13,"Exposure",3,1,7,900,3.841,2.465,"Ipswich",9,900,7.477926146,7.392288983623,7.26179095809887,7.27214515025885,17.2,30.305,1993.675,2066.52,7.685,957.3,1.8,1.15,17.08,30.2268,7.8094,7.6788,7.6874,7.5224,-0.417111016377,-0.41525484974115
"49",17162,2017-06-13,"Exposure",2,3,6,400,4.383,2.317,"Rowley",9,400,7.570056487,7.484419324623,7.35392129909887,7.36427549125885,17.55,30.305,1896.665,2057.585,7.935,499.6,3.005,1.92,17.52,30.2334,8.113,7.9824,7.991,7.8256,-0.628580675376999,-0.62672450874115
"50",17173,2017-06-13,"Exposure",5,3,15,900,3.838,2.015,"Ipswich",9,900,7.564298341,7.478661178623,7.34816315309887,7.35851734525885,17.75,30.305,2009.12,2057.655,7.715,882.15,1.965,1.26,17.78,30.22,7.872,7.7412,7.75,7.585,-0.393338821377,-0.39148265474115
"51",17174,2017-06-13,"Exposure",1,3,3,400,3.163,1.694,"Rowley",9,400,7.75431717,7.668680007623,7.53818198209887,7.54853617425885,17.75,30.305,1900.4,2053.525,7.915,526.1,2.89,1.845,17.48,30.22,8.1162,7.9856,7.9944,7.8292,-0.447519992377001,-0.445863825741149
"52",17176,2017-06-13,"Exposure",2,1,4,400,3.325,1.834,"Ipswich",9,400,7.132437366,7.046800203623,6.91630217809887,6.92665637025885,17.55,30.305,1911.88,2051.23,7.875,573.8,2.685,1.715,17.48,30.24,8.1128,7.9824,7.991,7.8256,-1.065999796377,-1.06434362974115
"53",17181,2017-06-13,"Exposure",4,2,11,2800,3.412,2.065,"Rowley2",9,2800,7.506716878,7.421079715623,7.29058169009887,7.30093588225885,17.85,30.305,1966.55,2100.155,7.24,2904.7,0.715,0.455,17.5,30.2336,7.4004,7.27,7.2788,7.1134,0.0206797156230003,0.0221358822588504
"54",17184,2017-06-13,"Exposure",3,2,8,900,4.062,2.483,"Rowley2",9,900,7.690977561,7.605340398623,7.47484237309887,7.48519656525885,17.15,30.305,1983.38,2063.25,7.71,892.1,1.88,1.205,17.18,30.2268,7.8002,7.6698,7.6784,7.5132,-0.194859601377,-0.19320343474115
"55",17008,2017-06-26,"Exposure",2,2,5,400,3.101,1.852,"Rowley",22,400,6.672413793,6.586776630623,6.45627860509887,6.46663279725885,17.3333333333333,30.5633333333333,1935.8,2066.05,7.84666666666667,626.533333333333,2.56,1.63666666666667,16.8571428571429,30.6861428571429,8.19685714285714,8.06628571428571,8.075,7.90542857142857,-1.61008051223414,-1.60836720274115
"56",17022,2017-06-26,"Exposure",4,3,12,2800,3.095,2.497,"Rowley",22,2800,7.275862069,7.190224906623,7.05972688109887,7.07008107325885,17.6,30.5633333333333,1904.70333333333,2116.33666666667,7.32666666666667,2356.23333333333,0.87,0.556666666666667,17,30.7247142857143,7.51742857142857,7.38671428571429,7.39557142857143,7.22528571428571,-0.327203664805571,-0.325490355312579
