"","Date","tankID","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W"
"16",2017-06-26,3,17.5333333333333,30.5633333333333,1925.63666666667,2078.63666666667,7.91,536.233333333333,2.89333333333333,1.85,17.1,30.7244285714286,8.19571428571429,8.06485714285714,8.07385714285714,7.90371428571429
"17",2017-07-24,3,17.7,30.774,1954.57,2107.98,7.9,556.46,2.918,1.866,17.9714285714286,30.8422857142857,8.12,7.98828571428571,7.99728571428571,7.827
"18",2017-08-23,3,18.1285714285714,30.8285714285714,1968.97571428571,2120.41285714286,7.88571428571429,581.157142857143,2.90285714285714,1.85857142857143,19.3428571428571,31.2098571428571,8.074,7.938,7.947,7.76828571428571
"19",2017-06-05,4,17.9,30.52,1934.24,2067.49,7.85,617.3,2.61,1.67,17.9,30.523,8.079,7.949,7.958,7.789
"20",2017-06-06,4,17.9,30.52,1934.24,2067.49,7.85,617.3,2.61,1.67,17.85,30.407,8.101,7.971,7.9795,7.8125
"21",2017-06-13,4,17.55,30.305,1911.88,2051.23,7.875,573.8,2.685,1.715,17.48,30.24,8.1128,7.9824,7.991,7.8256
"22",2017-06-26,4,17.3333333333333,30.5633333333333,1935.40333333333,2083.33333333333,7.89333333333333,554.833333333333,2.82,1.80333333333333,16.8857142857143,30.6861428571429,8.19442857142857,8.06371428571429,8.07271428571429,7.903
"23",2017-07-24,4,17.3833333333333,30.8533333333333,1954.88666666667,2110.50666666667,7.90666666666667,543.2,2.94166666666667,1.88333333333333,18.1142857142857,30.9757142857143,8.10457142857143,7.97285714285714,7.98171428571429,7.81014285714286
"24",2017-08-23,4,17.7375,30.90625,1965.26875,2120.92625,7.9,556.6625,2.95375,1.8925,19.2714285714286,31.2825714285714,8.09142857142857,7.95542857142857,7.96442857142857,7.78542857142857
"25",2017-06-05,5,17.9,30.52,1936.97,2063.5,7.83,645.4,2.51,1.61,17.9,30.523,8.079,7.949,7.958,7.789
"26",2017-06-06,5,17.9,30.52,1936.97,2063.5,7.83,645.4,2.51,1.61,17.85,30.3735,8.095,7.965,7.974,7.8065
"27",2017-06-13,5,17.55,30.305,1912.565,2025.71,7.805,680.45,2.3,1.47,17.5,30.2334,8.115,7.9846,7.9934,7.8278
"28",2017-06-26,5,17.3333333333333,30.5633333333333,1935.8,2066.05,7.84666666666667,626.533333333333,2.56,1.63666666666667,16.8571428571429,30.6861428571429,8.19685714285714,8.06628571428571,8.075,7.90542857142857
"29",2017-07-24,5,17.46,30.742,1952.862,2097.728,7.878,586.32,2.79,1.784,18.1142857142857,30.9662857142857,8.10442857142857,7.97271428571429,7.98171428571429,7.81014285714286
"30",2017-08-23,5,17.8428571428571,30.8342857142857,1964.65571428571,2113.36,7.88,586.681428571429,2.85857142857143,1.83,19.2714285714286,31.2968571428571,8.08828571428571,7.95228571428571,7.96128571428571,7.78214285714286
"31",2017-06-05,6,17.9,30.52,1918.23,2068.1,7.9,550.7,2.85,1.82,17.9,30.523,8.074,7.943,7.952,7.784
"32",2017-06-06,6,17.9,30.52,1918.23,2068.1,7.9,550.7,2.85,1.82,17.9,30.3565,8.0955,7.9645,7.9735,7.807
"33",2017-06-13,6,17.55,30.305,1896.665,2057.585,7.935,499.6,3.005,1.92,17.52,30.2334,8.113,7.9824,7.991,7.8256
"34",2017-06-26,6,17.3333333333333,30.5633333333333,1924.64333333333,2087.71666666667,7.93666666666667,502.933333333333,3.04666666666667,1.94666666666667,16.8285714285714,30.715,8.20028571428571,8.07,8.07871428571429,7.90857142857143
"35",2017-07-24,6,17.46,30.748,1944.704,2109.926,7.934,509.82,3.09,1.976,18.1285714285714,30.9281428571429,8.10485714285714,7.973,7.982,7.811
"36",2017-08-23,6,17.8428571428571,30.8385714285714,1958.30285714286,2122.04142857143,7.92,530.078571428571,3.08,1.97285714285714,19.2714285714286,31.2777142857143,8.08914285714286,7.95314285714286,7.96214285714286,7.783
"37",2017-06-05,7,17.5,30.52,2027.87,2082.51,7.62,1122.5,1.59,1.02,17.5,30.523,7.809,7.678,7.687,7.519
"38",2017-06-06,7,17.5,30.52,2027.87,2082.51,7.62,1122.5,1.59,1.02,17.25,30.34,7.8,7.6695,7.678,7.512
"39",2017-06-13,7,17.2,30.305,1993.675,2066.52,7.685,957.3,1.8,1.15,17.08,30.2268,7.8094,7.6788,7.6874,7.5224
"40",2017-06-26,7,17.0666666666667,30.5633333333333,2019.83,2091.12333333333,7.67666666666667,979.833333333333,1.79,1.14333333333333,17,30.6671428571429,7.91071428571429,7.78014285714286,7.78871428571429,7.61942857142857
"41",2017-07-24,7,17.55,30.8633333333333,2048.775,2117.77166666667,7.65833333333333,1037.16666666667,1.78333333333333,1.14,18.0142857142857,30.9662857142857,7.82614285714286,7.69457142857143,7.70357142857143,7.53185714285714
"42",2017-08-23,7,18.075,30.88875,2057.02125,2127.23,7.65375,1054.21375,1.81,1.16,19.7571428571429,31.2485714285714,7.82442857142857,7.68842857142857,7.69742857142857,7.51885714285714
"43",2017-06-05,8,17.4,30.52,2014.61,2083.95,7.67,992.5,1.76,1.13,17.4,30.523,7.786,7.656,7.664,7.496
"44",2017-06-06,8,17.4,30.52,2014.61,2083.95,7.67,992.5,1.76,1.13,17.45,30.34,7.7885,7.6585,7.6665,7.5005
"45",2017-06-13,8,17.15,30.305,1983.38,2063.25,7.71,892.1,1.88,1.205,17.18,30.2268,7.8002,7.6698,7.6784,7.5132
"46",2017-06-26,8,17.0333333333333,30.53,2012.91333333333,2086.85333333333,7.68666666666667,951.3,1.82,1.16333333333333,16.9285714285714,30.6815714285714,7.90757142857143,7.77728571428571,7.78571428571429,7.61614285714286
"47",2017-07-24,8,17.44,30.754,2037.218,2110.614,7.676,988.86,1.83,1.172,18.0714285714286,30.9757142857143,7.82128571428571,7.69,7.69871428571429,7.52714285714286
"48",2017-08-23,8,18.0714285714286,30.8142857142857,2049.63285714286,2122.62857142857,7.66428571428571,1028.42142857143,1.84142857142857,1.18142857142857,19.7714285714286,31.2532857142857,7.82685714285714,7.69114285714286,7.70014285714286,7.52128571428571
"49",2017-06-05,9,17.4,30.52,2002.9,2082.91,7.7,910.7,1.89,1.21,17.4,30.523,7.792,7.661,7.67,7.502
"50",2017-06-06,9,17.4,30.52,2002.9,2082.91,7.7,910.7,1.89,1.21,17.45,30.323,7.794,7.6635,7.6725,7.506
"51",2017-06-13,9,17.15,30.305,1961.47,2066.64,7.785,750.2,2.22,1.42,17.18,30.22,7.807,7.6764,7.6852,7.5198
"52",2017-06-26,9,17.0333333333333,30.53,1992.71666666667,2092.42333333333,7.76666666666667,791.3,2.15666666666667,1.38,16.9428571428571,30.7102857142857,7.90785714285714,7.77742857142857,7.78614285714286,7.61614285714286
"53",2017-07-24,9,17.42,30.774,2024.722,2116.046,7.73,876.68,2.066,1.324,18.0714285714286,30.9804285714286,7.82357142857143,7.69257142857143,7.70128571428571,7.52942857142857
"54",2017-08-23,9,18.1,30.8285714285714,2040.30428571429,2126.59142857143,7.70428571428571,945.568571428571,2.01714285714286,1.29428571428571,19.7571428571429,31.2484285714286,7.82685714285714,7.691,7.7,7.52128571428571
"55",2017-06-05,10,17.8,30.52,2156.1,2119.87,7.31,2428.4,0.84,0.54,17.8,30.523,7.374,7.244,7.253,7.085
"56",2017-06-06,10,17.8,30.52,2156.1,2119.87,7.31,2428.4,0.84,0.54,17.4,30.3565,7.3725,7.242,7.251,7.0845
"57",2017-06-13,10,17.65,30.305,1983.905,2091.8,7.325,2303.75,0.85,0.545,17.42,30.2402,7.412,7.2814,7.2904,7.125
"58",2017-06-26,10,17.2666666666667,30.5633333333333,2046.16,2115.2,7.35333333333333,2172.8,0.91,0.583333333333333,17.0142857142857,30.6864285714286,7.52414285714286,7.39385714285714,7.40285714285714,7.233
"59",2017-07-24,10,17.6333333333333,30.8633333333333,2135.20833333333,2141.46833333333,7.29833333333333,2534.21666666667,0.833333333333333,0.535,18.3285714285714,30.947,7.358,7.22657142857143,7.23528571428571,7.06385714285714
"60",2017-08-23,10,17.9375,30.90125,2134.0725,2145.5175,7.34875,2431.36125,1.04625,0.6725,19.1285714285714,31.2291428571429,7.34514285714286,7.20914285714286,7.21814285714286,7.03985714285714
"61",2017-06-05,11,18.2,30.52,2214.57,2131.86,7.17,3427.4,0.63,0.4,18.2,30.523,7.391,7.261,7.27,7.102
"62",2017-06-06,11,18.2,30.52,2214.57,2131.86,7.17,3427.4,0.63,0.4,17.6,30.34,7.3865,7.256,7.265,7.0985
"63",2017-06-13,11,17.85,30.305,1966.55,2100.155,7.24,2904.7,0.715,0.455,17.5,30.2336,7.4004,7.27,7.2788,7.1134
"64",2017-06-26,11,17.4,30.5533333333333,2034.64,2120.53,7.29666666666667,2577.4,0.816666666666667,0.52,17.0142857142857,30.7148571428571,7.52428571428571,7.39414285714286,7.40285714285714,7.23271428571429
"65",2017-07-24,11,17.7166666666667,30.8583333333333,2121.79333333333,2046.825,7.275,2745.51666666667,0.8,0.51,18.3571428571429,30.9518571428571,7.35071428571429,7.21957142857143,7.22828571428571,7.057
"66",2017-08-23,11,18,30.8975,2122.83625,2075.1825,7.335,2562.86625,1.0375,0.66375,19.1285714285714,31.2242857142857,7.34371428571429,7.20771428571429,7.21671428571429,7.03828571428571
"67",2017-06-05,12,18.8,30.52,2198.41,2142.05,7.24,2928.7,0.75,0.48,18.8,30.523,7.397,7.267,7.275,7.107
"68",2017-06-06,12,18.8,30.52,2198.41,2142.05,7.24,2928.7,0.75,0.48,17.95,30.323,7.389,7.259,7.2675,7.101
"69",2017-06-13,12,18.15,30.305,1771.78,2093.805,7.285,2575.4,0.79,0.505,17.64,30.2336,7.4096,7.2792,7.2878,7.1222
"70",2017-06-26,12,17.6,30.5633333333333,1904.70333333333,2116.33666666667,7.32666666666667,2356.23333333333,0.87,0.556666666666667,17,30.7247142857143,7.51742857142857,7.38671428571429,7.39557142857143,7.22528571428571
"71",2017-07-24,12,17.8,30.87,2057.77666666667,2141.28333333333,7.30333333333333,2513.55,0.846666666666667,0.543333333333333,18.2857142857143,30.9374285714286,7.35542857142857,7.22414285714286,7.23271428571429,7.06157142857143
"72",2017-08-23,12,18.0625,30.90625,2082.95,2139.0775,7.31,2480.9175,0.86875,0.5575,19.1285714285714,31.2242857142857,7.34914285714286,7.21314285714286,7.22214285714286,7.04385714285714
"73",2017-06-05,13,18,30.52,2024.83,2068.73,7.57,1241.7,1.47,0.94,18,30.523,7.837,7.706,7.715,7.547
"74",2017-06-06,13,18,30.52,2024.83,2068.73,7.57,1241.7,1.47,0.94,18,30.3735,7.8395,7.709,7.7175,7.551
"75",2017-06-13,13,17.7,30.305,1638.455,2059.475,7.69,959.1,1.9,1.215,17.66,30.2198,7.873,7.7424,7.751,7.586
"76",2017-06-26,13,17.4,30.5633333333333,1768.92,2088.97333333333,7.73,875.1,2.07333333333333,1.32666666666667,17.0714285714286,30.6812857142857,7.94085714285714,7.81028571428571,7.81928571428571,7.64942857142857
