Date,TankID,Temp_Complete,Sal_Complete,CT_Complete,AT_Complete,pH_Complete,pCO2_Complete,CaSat_Complete,ArgSat_Complete,Temp_2W,Sal_2W,pH_NBS_2W,pH_scaleFree_2W,Temp_Cal,Sal_Cal,CT_Cal,AT_Cal,pH_Cal,pCO2_Cal,CaSat_Cal,ArgSat_Cal
2017-06-13,7,16.975,30.167560205,1950.02349225,2056.7152495,7.7905,751.125,2.2475,1.435,17.0428571428571,30.02301904,7.87584142857143,7.57878428571429,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,7,17,30.1922022233333,1946.87085433333,2058.775586,7.80366666666667,737.466666666667,2.32666666666667,1.48666666666667,17.0166666666667,30.006871905,7.93546333333333,7.63856666666667,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,8,17.2428571428571,30.5580732014286,1997.49125514286,2092.77648357143,7.74542857142857,852.1,2.11714285714286,1.35428571428571,18.0714285714286,30.9756527485714,7.83361571428571,7.52713285714286,16.92,30.343772754,1967.0186976,2071.3859972,7.7806,774.86,2.226,1.422
2017-08-23,8,17.7777777777778,30.6491704666667,2015.97536033333,2106.084182,7.72037111111111,913.261444444444,2.06243111111111,1.32080222222222,19.7714285714286,31.0668971,7.82857571428571,7.52119142857143,16.92,30.343772754,1967.0186976,2071.3859972,7.7806,774.86,2.226,1.422
2017-06-26,8,16.92,30.343772754,1967.0186976,2071.3859972,7.7806,774.86,2.226,1.422,16.9285714285714,30.6814360928571,7.91978,7.61621,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,8,16.9666666666667,30.21450045,1936.987585,2060.10499766667,7.83666666666667,670.966666666667,2.47666666666667,1.58333333333333,17.0666666666667,29.9958666483333,7.98082,7.684035,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,8,16.95,30.184283875,1940.77882625,2055.71678,7.81475,701.15,2.3575,1.5075,17.1857142857143,30.02301904,7.86616142857143,7.56910571428571,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,8,16.9666666666667,30.21450045,1936.987585,2060.10499766667,7.83666666666667,670.966666666667,2.47666666666667,1.58333333333333,17.1833333333333,30.0182376166667,7.92441333333333,7.62740666666667,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,9,17.2142857142857,30.5771572728571,1989.29097857143,2095.32561328571,7.779,778.285714285714,2.25428571428571,1.44142857142857,18.0714285714286,30.9804213757143,7.83607571428571,7.52954571428571,16.9,30.350462224,1955.9166788,2072.8630204,7.8204,687.7,2.384,1.522
2017-08-23,9,17.7888888888889,30.6640136333333,2009.28423377778,2108.13235711111,7.74719444444444,853.731111111111,2.17448888888889,1.39180666666667,19.7571428571429,31.0620901742857,7.82844142857143,7.52110571428571,16.9,30.350462224,1955.9166788,2072.8630204,7.8204,687.7,2.384,1.522
2017-06-26,9,16.9,30.350462224,1955.9166788,2072.8630204,7.8204,687.7,2.384,1.522,16.9428571428571,30.7102111914286,7.92014,7.61628428571429,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,9,16.9333333333333,30.2256495666667,1934.77616033333,2056.65135333333,7.83633333333333,658.433333333333,2.44666666666667,1.56,17.05,29.9792751216667,7.981575,7.68495166666667,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,9,16.925,30.1926457125,1931.09210275,2055.08165925,7.84375,641.25,2.4725,1.5775,17.1857142857143,30.0088960885714,7.86850142857143,7.57158285714286,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,9,16.9333333333333,30.2256495666667,1934.77616033333,2056.65135333333,7.83633333333333,658.433333333333,2.44666666666667,1.56,17.1666666666667,29.9903951283333,7.925065,7.62833166666667,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,10,17.45,30.65654897375,2083.83116375,2116.11228325,7.425375,2075.8375,1.195,0.765,18.3285714285714,30.9470409942857,7.37024571428571,7.06405,17.1666666666667,30.510790525,2037.57531016667,2099.9788935,7.48883333333333,1784.05,1.34333333333333,0.858333333333333
2017-08-23,10,17.73,30.728875093,2093.1982948,2124.4233728,7.43952,2085.2287,1.292956,0.82873,19.1285714285714,31.04279672,7.34687142857143,7.03972714285714,17.1666666666667,30.510790525,2037.57531016667,2099.9788935,7.48883333333333,1784.05,1.34333333333333,0.858333333333333
2017-06-26,10,17.12,30.35038203,1999.5771924,2085.135784,7.5348,1583.96,1.458,0.932,17.0142857142857,30.6862055057143,7.53656571428571,7.23294857142857,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,10,17.2,30.1922022233333,2005.16777933333,2066.64825466667,7.64,1276.6,1.8,1.15,17.2333333333333,29.9791816066667,7.91573333333333,7.61911166666667,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,10,17.275,30.167560205,1956.80363925,2065.91868775,7.5655,1502.225,1.565,1,17.3428571428571,30.0232521285714,7.58956571428571,7.29250857142857,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,10,17.2,30.1922022233333,2005.16777933333,2066.64825466667,7.64,1276.6,1.8,1.15,17.2333333333333,30.0014956366667,7.788305,7.49146333333333,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,11,17.5714285714286,30.7668763642857,2091.93554057143,2048.63252128571,7.363,2428.54285714286,1.08428571428571,0.691428571428571,18.3571428571429,30.95180962,7.36308142857143,7.05683571428571,17.26,30.636097182,2040.8422332,2118.7059524,7.434,2069.86,1.248,0.796
2017-08-23,11,17.8555555555556,30.8227215211111,2099.49701688889,2073.43748511111,7.39652666666667,2336.62544444444,1.23197555555556,0.78727,19.1285714285714,31.03796867,7.34535428571429,7.03825714285714,17.26,30.636097182,2040.8422332,2118.7059524,7.434,2069.86,1.248,0.796
2017-06-26,11,17.225,30.4669132275,2004.1774495,2105.26692275,7.448,2064.725,1.31,0.835,17.0142857142857,30.7147736,7.53673142857143,7.23283142857143,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,11,17.45,30.36283156,2063.6782365,2095.669689,7.5385,1977.05,1.71,1.09,17.3,29.97934892,7.92780833333333,7.63118333333333,NA,NA,NA,NA,NA,NA,NA,NA
