ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,EPF_pH,EPF_1hr,EPF_2hr,EPF_4hr,EPF_8hr,EPF_12hr,EPF_24hr,Notes
17163,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.396551724,NA,NA,NA,NA,NA,NA,
17179,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.310344828,NA,NA,NA,NA,NA,NA,
17182,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.402298851,NA,NA,NA,NA,NA,NA,
17190,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,7.25862069,NA,NA,NA,NA,NA,NA,
17222,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.063218391,NA,NA,NA,NA,NA,NA,
17001,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.230326296,NA,NA,NA,NA,NA,NA,
17041,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.213051823,NA,NA,NA,NA,NA,NA,
17042,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.552783109,NA,NA,NA,NA,NA,NA,
17052,2,2,400,2329.53,2437.2,590.67,2.86,7.83,7.443378119,NA,NA,NA,NA,NA,NA,
17085,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,7.005758157,NA,NA,NA,NA,NA,NA,
17106,5,2,900,2441,2468.42,865.45,2.15,7.62,7.644913628,NA,NA,NA,NA,NA,NA,
17111,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.598848369,NA,NA,NA,NA,NA,NA,
17113,1,1,400,2404.69,2506.24,576.45,2.97,7.83,7.800383877,NA,NA,NA,NA,NA,NA,
17120,3,1,900,2453.26,2468.16,943.47,2.01,7.59,7.731285988,NA,NA,NA,NA,NA,NA,
17129,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,7.414587332,NA,NA,NA,NA,NA,NA,
17133,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,7.161228407,NA,NA,NA,NA,NA,NA,
17143,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.426103647,NA,NA,NA,NA,NA,NA,
17158,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.834932821,NA,NA,NA,NA,NA,NA,
17166,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.644913628,NA,NA,NA,NA,NA,NA,
17170,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,6.97696737,NA,NA,NA,NA,NA,NA,
17206,3,2,900,2449.19,2464.79,904.6,2.08,7.59,7.051823417,NA,NA,NA,NA,NA,NA,
17210,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,6.815738964,NA,NA,NA,NA,NA,NA,
17218,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.650671785,NA,NA,NA,NA,NA,NA,
17007,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.455279862,NA,NA,NA,NA,NA,NA,
17012,3,1,900,2453.26,2468.16,943.47,2.01,7.59,7.472590883,NA,NA,NA,NA,NA,NA,
17019,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,7.149451818,NA,NA,NA,NA,NA,NA,
17027,3,2,900,2449.19,2464.79,904.6,2.08,7.59,7.55914599,NA,NA,NA,NA,NA,NA,
17029,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.443739181,NA,NA,NA,NA,NA,NA,
17079,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.449509521,NA,NA,NA,NA,NA,NA,
17082,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.553375649,NA,NA,NA,NA,NA,NA,
17094,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,7.172533179,NA,NA,NA,NA,NA,NA,
17099,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.668782458,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17130,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.097518754,NA,NA,NA,NA,NA,NA,
17145,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,6.9186382,NA,NA,NA,NA,NA,NA,
17178,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,7.091748413,NA,NA,NA,NA,NA,NA,
17203,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.484131564,NA,NA,NA,NA,NA,NA,
17204,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.518753606,NA,NA,NA,NA,NA,NA,
17208,5,2,900,2441,2468.42,865.45,2.15,7.62,7.189844201,NA,NA,NA,NA,NA,NA,
17211,2,2,400,2329.53,2437.2,590.67,2.86,7.83,7.709174841,NA,NA,NA,NA,NA,NA,
17213,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,6.872475476,NA,NA,NA,NA,NA,NA,
17005,1,1,400,2404.69,2506.24,576.45,2.97,7.83,6.84675835,NA,NA,NA,NA,NA,NA,
17043,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.277013752,NA,NA,NA,NA,NA,NA,
17051,1,3,400,2377.12,2484.38,574.36,2.93,7.84,6.858546169,NA,NA,NA,NA,NA,NA,
17062,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.78978389,NA,NA,NA,NA,NA,NA,
17068,2,2,400,2329.53,2437.2,590.67,2.86,7.83,7.16502947,NA,NA,NA,NA,NA,NA,
17089,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.353634578,NA,NA,NA,NA,NA,NA,
17123,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.141453831,NA,NA,NA,NA,NA,NA,
17126,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,7.63064833,NA,NA,NA,NA,NA,NA,
17153,5,2,900,2441,2468.42,865.45,2.15,7.62,7.129666012,NA,NA,NA,NA,NA,NA,
17156,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.353634578,NA,NA,NA,NA,NA,NA,
17159,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,6.99410609,NA,NA,NA,NA,NA,NA,
17168,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.330058939,NA,NA,NA,NA,NA,NA,
17004,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.359558,7.341040462,7.300578035,7.346820809,7.455769231,7.300578035,7.338432122,
17021,2,2,400,2329.53,2437.2,590.67,2.86,7.83,7.867103,7.653179191,7.942196532,7.658959538,7.651923077,7.895953757,7.642447419,
17033,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.867103,7.849710983,7.930635838,7.705202312,7.553846154,7.653179191,7.768642447,
