"gene_id","Mod_Membership"
"LOC111126821",0
"LOC111123717",0
"LOC111127498",0
"LOC111123971",0
"LOC111122716",0
"LOC111126926",0
"LOC111126237",0
"LOC111123890",0
"LOC111134552",0
"LOC111136085",0
"LOC111126074",0
"LOC111126075",0
"LOC111126841",0
"LOC111105322",0
"LOC111127025",0
"LOC111123821",0
"LOC111126341",0
"LOC111122717",0
"LOC111123210",0
"LOC111126774",0
"LOC111125018",0
"LOC111125021",0
"LOC111105313",0
"LOC111125019",0
"LOC111122671",0
"LOC111127020",0
"LOC111125407",0
"LOC111125423",0
"LOC111125418",0
"LOC111125421",0
"LOC111125413",0
"LOC111113014",0
"LOC111125408",0
"LOC111125410",0
"LOC111124234",0
"LOC111131859",0
"LOC111125409",0
"LOC111124237",0.471062031248742
"LOC111125405",0
"LOC111125406",0
"LOC111125411",0
"LOC111125412",0
"LOC111122972",0
"LOC111131839",0
"LOC111122906",0
"LOC111122918",0
"LOC111126445",0
"LOC111122796",0
"LOC111125454",0
"LOC111125453",0
"LOC111122949",0
"LOC111131850",0
"LOC111124238",0
"LOC111123992",0
"LOC111127198",0
"LOC111126172",0
"LOC111123636",0
"LOC111103666",0
"LOC111127145",0
"LOC111127146",0
"LOC111123536",0
"LOC111124935",0
"LOC111124865",0
"LOC111124868",0
"LOC111124864",0
"LOC111127657",0
"LOC111127031",0
"LOC111122968",0
"LOC111124241",0
"LOC111123451",0
"LOC111127563",0
"LOC111123124",0
"LOC111127405",0
"LOC111124243",0
"LOC111125868",0
"LOC111125049",0
"LOC111125047",0
"LOC111134566",0
"LOC111125048",0
"LOC111124572",0
"LOC111124571",0
"LOC111124244",0
"LOC111127027",0
"LOC111127028",0
"LOC111127282",0
"LOC111125581",0
"LOC111127249",0
"LOC111123642",0
"LOC111126723",0
"LOC111104519",0
"LOC111126781",0
"LOC111126751",0
"LOC111124523",0
"LOC111124522",0
"LOC111126708",0
"LOC111127128",0
"LOC111126693",0
"LOC111124593",0
"LOC111124590",0
"LOC111124592",0
"LOC111126683",0
"LOC111126684",0
"LOC111123697",0
"LOC111122627",0
"LOC111127257",0
"LOC111127258",0
"LOC111123152",0
"LOC111123598",0
"LOC111125363",0
"LOC111126416",0
"LOC111125242",0
"LOC111125378",0
"LOC111108857",0.542281081880886
"LOC111125377",0
"LOC111123137",0
"LOC111124666",0
"LOC111125526",0
"LOC111124485",0
"LOC111126559",0
"LOC111122601",0
"LOC111125738",0
"LOC111126171",0
"LOC111126789",0
"LOC111126819",0
"LOC111122800",0
"LOC111123079",0
"LOC111123557",0
"LOC111127041",0
"LOC111125803",0
"LOC111122548",0
"LOC111126191",0
"LOC111127155",0
"LOC111125780",0
"LOC111124936",0
"LOC111109589",0
"LOC111123648",0
"LOC111126437",0
"LOC111123493",0
"LOC111123503",0
"LOC111124257",0
"LOC111123500",0
"LOC111123504",0
"LOC111123511",0
"LOC111123497",0
"LOC111118614",0
"LOC111123509",0
"LOC111123496",0
"LOC111123499",0
"LOC111123498",0
"LOC111123494",0
"LOC111125799",0
"LOC111125800",0
"LOC111125669",0
"LOC111125569",0
"LOC111125568",0
"LOC111123980",0
"LOC111123979",0
"LOC111126024",0
"LOC111126029",0
"LOC111126025",0
"LOC111126793",0
"LOC111123299",0
"LOC111124261",0
"LOC111126033",0
"LOC111126381",0
"LOC111127521",0
"LOC111120886",0
"LOC111122670",0
"LOC111122960",0
"LOC111127447",0
"LOC111126031",0
"LOC111126602",0
"LOC111124852",0
"LOC111124851",0
"LOC111125768",0
"LOC111125387",0
"LOC111122811",0
"LOC111126550",0
"LOC111123224",0
"LOC111124554",0
"LOC111122994",0
"LOC111124269",0
"LOC111110776",0
"LOC111126317",0
"LOC111126238",0
"LOC111122951",0
"LOC111122937",0
"LOC111126166",0
"LOC111126834",0
"LOC111126568",0
"LOC111124629",0
"LOC111124630",0
"LOC111126750",0
"LOC111124270",0
"LOC111125166",0
"LOC111125150",0
"LOC111125162",0
"LOC111125175",0
"LOC111125178",0
"LOC111125169",0
"LOC111125157",0
"LOC111124271",0
"LOC111125155",0
"LOC111125149",0
"LOC111121733",0
"LOC111125173",0
"LOC111125180",0
"LOC111125165",0
"LOC111125168",0
"LOC111125154",0
"LOC111125160",0
"LOC111119622",0
"LOC111125183",0
"LOC111125177",0
"LOC111125171",0
"LOC111125151",0
"LOC111125176",0
"LOC111125170",0
"LOC111125167",0
"LOC111137438",0
"LOC111125164",0
"LOC111125152",0
"LOC111125159",0
"LOC111125156",0
"LOC111126284",0
"LOC111125733",0
"LOC111125734",0
"LOC111125367",0
"LOC111125368",0
"LOC111124640",0
"LOC111124641",0
"LOC111125112",0
"LOC111103862",0
"LOC111125110",0.538921658491038
"LOC111125108",0
"LOC111124275",0
"LOC111125109",0
"LOC111124276",0
"LOC111126293",0
"LOC111126294",0
"LOC111124277",0
"LOC111126306",0
"LOC111123774",0
"LOC111126190",0
"LOC111126589",0
"LOC111126588",0
"LOC111123760",0
"LOC111125937",0
"LOC111125452",0
"LOC111122549",0
"LOC111138426",0
"LOC111126435",0
"LOC111126574",0
"LOC111125445",0
"LOC111123099",0
"LOC111125752",0
"LOC111125755",0
"LOC111125393",0
"LOC111125392",0
"LOC111123676",0
"LOC111138433",0
"LOC111127515",0
"LOC111123456",0
"LOC111123455",0
"LOC111123452",0
"LOC111127593",0
"LOC111123038",0
"LOC111111539",0
"LOC111125248",0
"LOC111122726",0
"LOC111126914",0
"LOC111127126",0
"LOC111123295",0
"LOC111122953",0
"LOC111127461",0
"LOC111123667",0
"LOC111126054",0
"LOC111104401",0
"LOC111125845",0
"LOC111123101",0
"LOC111123120",0
"LOC111125388",0
"LOC111125389",0
"LOC111124280",0
"LOC111125390",0
"LOC111126194",0
"LOC111126038",0
"LOC111124528",0
"LOC111126174",0
"LOC111126173",0
"LOC111126576",0
"LOC111126578",0
"LOC111126185",0
"LOC111123833",0
"LOC111125538",0
"LOC111113698",0
"LOC111126412",0
"LOC111125088",0
"LOC111125312",0
"LOC111125318",0.445694307011664
"LOC111125314",0
"LOC111125316",0
"LOC111127420",0
"LOC111124016",0
"LOC111125490",0
"LOC111127664",0
"LOC111126064",0
"LOC111126067",0
"LOC111126065",0
"LOC111136378",0
"LOC111122535",0
"LOC111124909",0
"LOC111124912",0
"LOC111124911",0
"LOC111124910",0
"LOC111123474",0
"LOC111122578",0
"LOC111124549",0
"LOC111124552",0
"LOC111124551",0
"LOC111124550",0
"LOC111124553",0
"LOC111126405",0
"LOC111125783",0
"LOC111127491",0
"LOC111127492",0
"LOC111125030",0
"LOC111122616",0
"LOC111125089",0
"LOC111125090",0
"LOC111123817",0
"LOC111124697",0
"LOC111124627",0
"LOC111124625",0
"LOC111124621",0
"LOC111125791",0
"LOC111125369",0
"LOC111123801",0
"LOC111111194",0
"LOC111123813",0
"LOC111122903",0
"LOC111126963",0
"LOC111122660",0
"LOC111126875",0
"LOC111126791",0
"LOC111127051",0
"LOC111126860",0
"LOC111122913",0
"LOC111127462",0
"LOC111125438",0
"LOC111123117",0
"LOC111123369",0
"LOC111124859",0
"LOC111124633",0
"LOC111126788",0
"LOC111113174",0
"LOC111126281",0
"LOC111126280",0
"LOC111126815",0
"LOC111126651",0
"LOC111127135",0
"LOC111126345",0
"LOC111126881",0
"LOC111125930",0
"LOC111134836",0
"LOC111125273",0
"LOC111125274",0
"LOC111122639",0
