"Module","Genes","meanEigenExpression","meanMethylation","propCpGsCovered","CpG_Treatment_P","CpG_Time_P","CpG_Interaction_P","Exp_CpG_slope","Exp_CpG_R2","Exp_CpG_P","DiffpH_Exp_slope","DiffpH_Exp_R2","DiffpH_Exp_P"
"purple",322,-0.00557832812595616,0.777880104304491,0.450310559006211,0.0561819684179476,0.171993516969726,0.782878335081576,-0.0576912166327692,0.0842160961034361,0.102347861308407,0.494927392743942,0.0273009450083577,0.221920111769203
"royalblue",259,0.00235398319509649,0.765977644577718,0.521235521235521,0.0328023298421353,0.231917060957714,0.671484369534964,-0.0432799506312351,0.026509097719684,0.224396194389819,0.58277178550079,0.0585855580045711,0.144454614094261
"skyblue1",56,-0.00373010244351038,0.802262812958421,0.625,0.216953095363351,0.248331727601315,0.223096905654589,-0.0492689666152202,0.0491563725581842,0.164172912524954,0.307320647775683,-0.0199316537574259,0.451539413139655
"yellowgreen",185,-0.00521770579258846,0.774025820234885,0.67027027027027,0.118680111071093,0.427270235157202,0.428365610363078,0.000145582435505321,-0.0499994618938302,0.997477290155143,-0.369119542701854,-0.00691716444653534,0.365962237973743
"darkgreen",305,-0.00172224166083629,0.779027427419322,0.616393442622951,0.0364865669096175,0.553998281043145,0.230286947512842,0.057992683202408,0.0490855317895733,0.164331412191796,0.2874397583559,-0.0235493821033883,0.480508358806647
"green",722,-0.00184688676604619,0.774369655209978,0.530470914127424,0.0200845296094877,0.0710967976327291,0.642210425494495,-0.0107742608811268,-0.0451416500580359,0.763584978050012,0.0736378020128838,-0.0482644151240954,0.857437096482937
"magenta",1383,0.0035347961231417,0.779740524874589,0.498915401301518,0.03567426971457,0.101425091195532,0.442927131464115,-0.0611860627359333,0.057706251828349,0.146183201415941,0.629286420375126,0.0761643583702741,0.114011198701463
"darkmagenta",186,0.000945247654804143,0.784579848347141,0.634408602150538,0.102852032063851,0.121661536055164,0.638006710338205,0.00967676945077984,-0.0453718840795461,0.76910414140707,0.216644156445438,-0.0349584700579273,0.595743349022202
"navajowhite2",89,0.00273267676097954,0.767220732228469,0.685393258426966,0.215218615103978,0.153911773521237,0.269276330854489,-0.0369132647054103,0.0914267586878905,0.0929306606853991,-0.378461116993808,-0.00424981430254046,0.351210085564281
"darkolivegreen",193,-0.00126812093163104,0.746714212412266,0.637305699481865,0.1292857183286,0.0557091336826684,0.257585381017262,0.0130339110524743,-0.0346697476069682,0.592209665476335,0.699852834372028,0.106911351266579,0.0755377492531979
"plum1",177,0.000702571709722931,0.773310089977624,0.598870056497175,0.255808292614621,0.142116282094301,0.198203569565181,0.0411479492696628,0.0101748734756921,0.283265215838373,0.0389938377811335,-0.0495126085321063,0.924182681145324
"lightsteelblue1",156,0.00152930805556434,0.754307683353273,0.653846153846154,0.359291238863357,0.39827098329484,0.628491967552751,0.0920740623220128,0.187693445604957,0.025210041072571,-0.0794395425412683,-0.0479790588994646,0.846288100102659
"blue",1120,0.00519228562316813,0.78584173845092,0.574107142857143,0.0492548654599985,0.167583584577344,0.62354466500075,-0.00941130677339346,-0.0475929363665737,0.832429659944167,0.224842677465113,-0.0340122754340084,0.584317461040404
"saddlebrown",207,0.00747053220607637,0.760082419197412,0.603864734299517,0.0437183502033382,0.0535906717857084,0.482721264143117,0.0190494404957273,-0.0217820005909486,0.466008673051055,0.0379230794919772,-0.0495519144078176,0.927295936566314
"darkslateblue",121,0.0427510982667324,0.786311214830999,0.59504132231405,0.54555674324336,0.219704199130127,0.837570447016191,-0.00549128108802626,-0.027208934648334,0.512930431596831,1.79191604450918,0.0274250411246713,0.22153485608884
"lightcyan",332,0.0148545072659241,0.80152362286014,0.343373493975904,0.025988465862898,0.477660198164344,0.189640110357727,0.0015103321835827,-0.0499292772328386,0.971084822939844,0.550030277637586,0.0361689308870028,0.196174636113911
"thistle2",107,0.00108249839938664,0.789708382925377,0.588785046728972,0.0552775324218096,0.274805249932087,0.779452588551564,0.0672375651075067,0.205138633332025,0.0197555428945954,-0.4731253351378,0.0217280908499702,0.240026544539174
