ID,PCO2,Date,LongDate,Step,Timepoint,pHMeasured,pHNBS,pHSW,pHTotal
17005,400,8/24/2017,20170824,Exposure-Extra,80,6.85,6.76,6.63,6.64
17043,2800,8/24/2017,20170824,Exposure-Extra,80,7.28,7.19,7.06,7.07
17051,2800,8/24/2017,20170824,Exposure-Extra,80,6.86,6.77,6.64,6.65
17062,400,8/24/2017,20170824,Exposure-Extra,80,7.79,7.70,7.57,7.58
17068,900,8/24/2017,20170824,Exposure-Extra,80,7.17,7.08,6.94,6.95
17089,900,8/24/2017,20170824,Exposure-Extra,80,7.35,7.27,7.13,7.14
17123,900,8/24/2017,20170824,Exposure-Extra,80,7.14,7.06,6.92,6.93
17126,400,8/24/2017,20170824,Exposure-Extra,80,7.63,7.55,7.41,7.42
17153,2800,8/24/2017,20170824,Exposure-Extra,80,7.13,7.04,6.91,6.92
17156,900,8/24/2017,20170824,Exposure-Extra,80,7.35,7.27,7.13,7.14
17159,2800,8/24/2017,20170824,Exposure-Extra,80,6.99,6.91,6.77,6.78
17168,900,8/24/2017,20170824,Exposure-Extra,80,7.33,7.24,7.11,7.12
