ID,experiment,Acc_Exp,shelf,tank,tankID,exp_pCO2,pCO2,PopOrigin,length,width,pop,DrillDate,survival,survival_date,sample_index,tpnum_actual,sample_date,t_start,t_shuck,t_end,g_index,g_collect,g_20,m_tissue,dm_tissue,g_tissue,p_fluid,wet_wgt,tin_wgt,dry_wgt,wet_wgtcorr,dry_wgtcorr,bag_wgt,totalshell_wgt,shell_wgt,dry_end_meas,Hard_Nell_Index,Hard_Nell_Size_Correction,ShellWt_ShellSizeCor,Simple_ConditionIndex,Repair_Shell_Quality,notes
17030,exposure,Exposure,5,1,13,900,900,Rowley2-Sawyers,4.619,2.022,Rowley2,20170501,Y,20170626,120,7,20170626,13:32,13:41,13:45,0,Y,NA,Y,Y,Y,Y,7.59,1.27,2.25,6.32,0.98,NA,NA,NA,34.559,4.486914874,0.9714039563,3.700258405,32.06723533,0,
17031,exposure,Exposure,5,1,13,900,900,Rowley1-RR,3.089,1.675,Rowley,20170427,Y,20170613,103,6,20170613,13:09,13:14,13:19,0,N,NA,Y,Y,Y,N,4,1.29,1.77,2.71,0.48,11.79,34.15,22.36,22.36,7.921367228,2.564379161,4.321545397,21.10206117,3,
17032,exposure,Exposure,3,2,8,900,900,Ipswich,4.055,2.135,Ipswich,20170427,Y,20170606,80,5,20170606,11:28,11:31,11:36,0,Y,NA,Y,Y,Y,Y,8.42,1.29,2.7,7.13,1.41,11.41,70.35,58.94,58.94,3.355208021,0.8274249126,6.808028946,47.92087548,3,
17033,calcein,Calcein,2,3,6,400,400,Rowley2-Sawyers,4.141,2.221,Rowley2,20170427,Y,20170915,183,11,20170915,10:25,10:26,10:32,0,N,N,Y,Y,Y,N,6.65,1.3,NA,NA,NA,NA,NA,NA,52.04,#VALUE!,#VALUE!,5.658267807,#VALUE!,5,Stabbed while shucking
17034,exposure,Acclimation,5,1,13,900,400,Rowley1-RR,3.355,1.933,Rowley,20170427,Y,20170517,31,2,20170517,14:06,14:20,14:25,0,Y,NA,Y,Y,Y,N,5.28,1.3,1.98,3.98,0.68,11.38,53.04,41.66,41.66,4.101158698,1.222401996,6.42384254,26.70218026,1,
17035,exposure,Acclimation,5,3,15,900,400,Ipswich,3.569,1.962,Ipswich,20170427,Y,20170509,15,1,20170509,NA,15:20,NA,0,N,NA,Y,Y,Y,Y,4.59,1.3,0.54,3.29,-0.76,11.38,48.94,37.56,37.56,-6.150240669,-1.72323919,5.363892095,-28.72042199,0,
17036,exposure,Exposure,4,3,12,2800,2800,Rowley2-Sawyers,2.36,2.144,Rowley2,20170427,Y,20170606,84,5,20170606,11:18,11:27,11:30,0,N,NA,Y,Y,Y,Y,4.57,1.29,1.86,3.28,0.57,12.03,44.8,32.77,32.77,5.303035942,2.247049128,6.476489375,25.33999143,4,
17037,exposure,Acclimation,1,2,2,400,400,Ipswich,3.809,2.541,Ipswich,20170427,Y,20170517,20,2,20170517,14:42,14:54,14:59,0,Y,NA,Y,Y,Y,Y,9.4,1.27,2.61,8.13,1.34,11.34,92.83,81.49,81.49,2.022599684,0.5310054302,8.419546117,43.07219253,1,
17038,calcein,Calcein,5,3,15,900,900,Rowley2-Sawyers,5.328,2.137,Rowley2,20170427,Y,20170915,199,11,20170915,14:56,14:57,14:59,0,N,N,Y,Y,Y,N,8.23,1.28,NA,NA,NA,NA,NA,NA,53.315,#VALUE!,#VALUE!,4.682531151,#VALUE!,1,
17039,calcein,Calcein,3,3,9,900,900,Rowley1-RR,3.245,2.115,Rowley,20170427,Y,20170915,189,11,20170915,13:24,13:25,13:28,0,N,N,Y,Y,Y,N,4.49,1.28,NA,NA,NA,NA,NA,NA,32.435,#VALUE!,#VALUE!,4.72594681,#VALUE!,0,
