Rank,ID,WaterSample_ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,survival,survival_date,sample_date,bw1_BW,bw1_date,bw1_date_alt,bw1_std_wt,bw1_temp,bw1_sal,bw2_BW,bw2_date,bw2_date_alt,bw2_std_wt,bw2_temp2,bw2_sal,bw3_BW,bw3_date,bw3_date_alt,bw3_std_wt,bw3_temp,bw3_sal,dry_end_meas,dry_measurer,bw1_bw2_std_corr,bw1_bw3_std_corr,bw2_BW_corr,bw3_BW_corr,"dry1_final
",dry2_final,dry3_final,bw1_bw2_dayRange,bw2_bw3_dayRange,bw1_bw2_diff,bw2_bw3_diff,bw1_bw2_daily,bw2_bw3_daily,bw1_bw2_daily_sizeCorr,bw2_bw3_daily_sizeCorr,"Calcification_daily_sizeCorr
","Calcification_daily_sizeCorr_percent
"
34,17160,17,6,2,2800,2608.91,2522.06,2346.38,2.01,7.23,Y,20170517,20170517,21.829,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.39,Isabel,NA,NA,NA,NA,38.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,17171,7,3,1,900,2453.26,2468.16,943.47,2.01,7.59,Y,20170517,20170517,19.245,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.14,Isabel,NA,NA,NA,NA,33.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,17202,6,2,3,400,2348.8,2454.04,519.42,3.1,7.83,Y,20170517,20170517,7.816,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.39,Isabel,NA,NA,NA,NA,11.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
37,17010,14,5,2,900,2441,2468.42,865.45,2.15,7.62,Y,20170602,20170602,18.718,170504,05/04/17,2.77,13.00,32.433,18.693,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,37.63,Isabel,0.009,NA,18.864,NA,32.258,32.531,NA,26.000,NA,0.273,NA,0.011,NA,0.000,NA,NA,
38,17024,2,1,2,400,2388.7,2486.18,535.06,3.1,7.84,Y,20170602,20170602,17.348,170505,05/05/17,2.79,12.90,32.533,17.372,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,30.06,Isabel,0.015,NA,17.626,NA,29.703,30.222,NA,25.000,NA,0.519,NA,0.021,NA,0.001,NA,NA,
39,17046,7,3,1,900,2453.26,2468.16,943.47,2.01,7.59,Y,20170602,20170602,42.220,170504,05/04/17,2.76,13.00,32.433,42.030,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,73.34,Isabel,0.004,NA,42.198,NA,76.092,76.051,NA,26.000,NA,-0.041,NA,-0.002,NA,0.000,NA,NA,
40,17056,18,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,Y,20170602,20170602,26.405,170505,05/05/17,2.79,12.90,32.533,26.525,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,45.13,Isabel,0.014,NA,26.909,NA,46.595,47.535,NA,25.000,NA,0.940,NA,0.038,NA,0.001,NA,NA,
41,17064,8,3,2,900,2449.19,2464.79,904.6,2.08,7.59,Y,20170602,20170602,53.982,170506,05/06/17,2.80,13.00,32.667,54.075,170531,05/31/17,2.794,17.2,29.467,NA,NA,NA,NA,NA,NA,98.92,Isabel,0.002,NA,54.198,NA,98.029,98.431,NA,25.000,NA,0.402,NA,0.016,NA,0.000,NA,NA,
42,17077,1,1,1,400,2404.69,2506.24,576.45,2.97,7.83,Y,20170602,20170602,21.250,170504,05/04/17,2.79,12.90,32.433,21.214,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,37.82,Isabel,0.014,NA,21.521,NA,36.980,37.486,NA,26.000,NA,0.506,NA,0.019,NA,0.001,NA,NA,
43,17078,11,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,Y,20170602,20170602,58.911,170506,05/06/17,2.80,13.00,32.667,58.793,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,114.51,Isabel,0.020,NA,59.969,NA,107.223,109.195,NA,24.000,NA,1.972,NA,0.082,NA,0.001,NA,NA,
